Source,Unknown
Scale,Unknown
Digitized,Unknown
Disclaimer,"The boundaries and name of PBT has been cross-referenced with Jabatan Perangkaan Malaysia. However, there is no clear council associations with Pulau Kendi, Rimau, Tikus, Gedung and Aman. Users to exercise discretion"
